Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Address,PlaceId,Type
NFB,2020-07-07T12:36:59-07:00,47.46155527,-122.5504546,782725.4218,1133236.495,NFB,,,
NFB,2020-07-07T12:48:35-07:00,47.46150943,-122.5539701,782731.3287,1132366.71,NFB,,,
NFB,2020-07-08T10:44:27-07:00,47.50848265,-122.5146925,799609.9674,1142517.504,NFB,,,
NFB,2020-07-08T13:06:20-07:00,47.49058812,-122.5439333,793270.5018,1135123.59,,,,
NFB,2020-07-08T14:25:35-07:00,47.4896336,-122.5863201,793196.7863,1124638.098,,,,
NFB,2020-07-08T14:25:50-07:00,47.48872342,-122.586595,792866.6844,1124561.387,,,,
NFB,2020-07-13T12:34:32-07:00,47.51041834,-122.5876191,800784.4937,1124517.681,NFB. No scour. Weird large metal trap located next to outlet. Pictures 1252,,,
NFB,2020-07-13T14:13:29-07:00,47.48287391,-122.6144427,790917.0186,1117621.207,,,,
NFB,2020-07-13T14:34:30-07:00,47.48372892,-122.6136845,791223.7702,1117816.999,,,,
NFB,2020-07-14T12:28:53-07:00,47.46835572,-122.6073907,785576.3516,1119222.923,"Pcc, round, 0.46",,,
NFB,2020-07-14T13:34:22-07:00,47.4694592,-122.6156034,786033.1025,1117203.063,,,,
NFB,2020-07-14T13:46:15-07:00,47.46871501,-122.6129175,785743.9335,1117859.881,,,,
NFB,2020-08-04T12:09:18-07:00,47.65103152,-122.7726351,853321.8127,1080285.824,Not enough scour ,,,
NFB,2020-08-04T14:08:43-07:00,47.65479341,-122.7710635,854682.4507,1080712.562,Scour too small upstream,,,
NFB,2020-08-05T11:38:20-07:00,47.69975922,-122.7411673,870869.1385,1088544.519,Scour of 0.55. Outlet on Private property,,,
